x_id,x_idregion_y1,proi1_y1,proi2_y1,proi3_y1,proi4_y1,proi5_y1,proi6_y1,proi7_y1,proi8_y1,inf1_y1,inf2_y1,inf3_y1,enrl1_y1,enrl_epi,enrl_epi2,ad_age,ad_gender,ad_field,ad_inst1,ad_need1,ad_need2,ad_inc1,ad_inc2,ad_award1,ad_award2,ad_unmet1,ad_unmet2,ad_inc3,ad_inc4,ad_loan1,ad_grant1,ad_asset1,ad_tuition1,ad_recip1,ad_ncb1,ad_cag1,ad_loan2,ad_bursary1,ad_loan3,ad_award3,enrl1_y2,proi_scale
e,48,4,3,4,4,3,3,4,4,5,3,5,1,14.0101,14,18,1,32,4825,7500,1000,NA,81996,8500,9500,0,-1000,3540,0,7000,1500,0,6006,1,36440,0,0,1000,7000,8500,1,25
ABA21-10003,48,5,5,4,4,1,1,4,2,4,5,4,1,13.0101,13,22,0,33,4837,13200,1000,NA,NA,14200,15200,0,-1000,3954,1480,10200,4000,0,6954,1,NA,NA,0,1000,10200,14200,1,34
ABA21-10005,48,4,5,4,5,4,1,2,4,1,2,4,1,51.1601,51,18,0,21,4803,5645,1000,NA,0,6145,7145,0,-500,5128,0,4645,1500,0,5128,1,36440,1,0,1000,4645,6145,1,31
ABA21-10006,48,5,5,4,4,2,1,4,4,5,2,4,1,24.0102,24,23,1,32,4813,13454,1000,NA,NA,14450,15450,0,-996,19590,1480,7140,7310,0,6808,1,NA,NA,0,1000,7140,14450,1,31
ABA21-10024,48,5,4,5,5,1,1,2,3,3,4,4,1,51.1601,51,21,0,21,4806,3930,1000,NA,78070,4930,5930,0,-1000,9562,0,3930,1000,0,3000,1,36440,0,0,1000,3930,4930,1,36
ABA21-10027,48,4,5,4,4,2,3,4,4,4,3,5,1,14.2701,14,18,1,20,4834,7595,1000,NA,0,7595,8595,0,0,3093,0,5595,2000,0,3485,1,36440,1,0,1000,5595,7595,1,28
ABA21-10030,48,5,5,4,5,2,1,4,4,5,2,4,1,31.0505,31,19,0,17,4804,8881,1000,NA,98760,9880,10880,1,-999,5575,0,8380,1500,0,3621,1,36440,0,0,1000,8380,9880,1,32
ABA21-10039,48,5,5,4,4,2,1,2,4,4,4,5,1,45.1101,45,22,1,32,4813,5000,1000,NA,NA,6000,7000,0,-1000,10172,0,5000,1000,0,6808,1,NA,NA,0,1000,5000,6000,1,33
ABA21-10044,48,5,5,4,4,3,4,4,4,4,4,5,1,24.0102,24,21,1,17,3508,7626,1000,NA,124698,8625,9625,0,-999,13578,0,7140,1485,0,8575,1,36440,0,0,1000,7140,8625,2,27
ABA21-10046,48,3,3,4,4,2,4,4,2,3,4,5,1,51.1601,51,18,0,36,4825,9419,1000,NA,20611,10415,11415,4,-996,0,0,4140,6275,0,6553,1,36440,1,0,1000,4140,10415,1,26
