field_name,question_text
askquest,Asked questions or contributed to course discussions in other ways
drafts,Prepared two or more drafts of a paper or assignment before turning it in
unprepared,Come to class without completing readings or assignments
unpreparedr,Reverse code of the variable unprepared
attendart,"Attended an art exhibit, play, or other arts performance (dance, music, etc.)"
CLaskhelp,Asked another student to help you understand course material
CLexplain,Explained course material to one or more students
CLstudy,Prepared for exams by discussing or working through course material with other students
CLproject,Worked with other students on course projects or assignments
present,Given a course presentation
RIintegrate,Combined ideas from different courses when completing assignments
RIsocietal,Connected your learning to societal problems or issues
RIdiverse,"Included diverse perspectives (political, religious, racial/ethnic, gender, etc.) in course discussions or assignments"
RIownview,Examined the strengths and weaknesses of your own views on a topic or issue
RIperspect,Tried to better understand someone else's views by imagining how an issue looks from their perspective
RInewview,Learned something that changed the way you understand an issue or concept
RIconnect,Connected ideas from your courses to your prior experiences and knowledge
SFcareer,Talked about career plans with a faculty member
SFotherwork,"Worked with a faculty member on activities other than coursework (committees, student groups, etc.)"
SFdiscuss,"Discussed course topics, ideas, or concepts with a faculty member outside of class"
SFperform,Discussed your academic performance with a faculty member
memorize,Coursework emphasized: Memorizing course material
HOapply,"Coursework emphasized: Applying facts, theories, or methods to practical problems or new situations"
HOanalyze,"Coursework emphasized: Analyzing an idea, experience, or line of reasoning in depth by examining its parts"
HOevaluate,"Coursework emphasized: Evaluating a point of view, decision, or information source"
HOform,Coursework emphasized: Forming a new idea or understanding from various pieces of information
ETgoals,Instructors: Clearly explained course goals and requirements
ETorganize,Instructors: Taught course sessions in an organized way
ETexample,Instructors: Used examples or illustrations to explain difficult points
ETdraftfb,Instructors: Provided feedback on a draft or work in progress
ETfeedback,Instructors: Provided prompt and detailed feedback on tests or completed assignments
QRconclude,"Reached conclusions based on your own analysis of numerical information (numbers, graphs, statistics, etc.)"
QRproblem,"Used numerical information to examine a real-world problem or issue (unemployment, climate change, public health, etc.)"
QRevaluate,Evaluated what others have concluded from numerical information
wrshort,Number of written papers or reports: Up to 5 pages
wrmed,Number of written papers or reports: Between 6 and 10 pages
wrlong,Number of written papers or reports: 11 pages or more
wrshortnum,"Estimated number of assigned papers, reports, etc., up to 5 pages (NSSE recode)"
wrmednum,"Estimated number of assigned papers, reports, etc., between 6 and 10 pages (NSSE recode)"
wrlongnum,"Estimated number of assigned papers, reports, etc., 11 pages or more (NSSE recode)"
wrpages,"Estimated pages of assigned writing, recoded and summed by NSSE from wrshort, wrmed, and wrlong using the midpoints of response ranges and an estimate for unbounded options"
DDrace,Had discussions with people of a race or ethnicity other than your own
DDeconomic,Had discussions with people from an economic background other than your own
DDreligion,Had discussions with people with religious beliefs other than your own
DDpolitical,Had discussions with people with political views other than your own
LSreading,Identified key information from reading assignments
LSnotes,Reviewed your notes after class
LSsummary,Summarized what you learned in class or from course materials
challenge,To what extent have your courses challenged you to do your best work?
intern,"Internship, co-op, field experience, student teaching, or clinical placement"
leader,Formal leadership role in a student organization or group
